Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.67496045917338E-06,-4.56843672853348E-06,0.0631981020041447,0,0,0,8.12607737966139,0.0100114601886251,9.27649637069347E-07,7.43273886425444E-07,0.0163995938038872,-1.20100989829579E-07,0.0249323105882306,0,0,0,0,0,0,package://harurobo_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harurobo_urdf/meshes/base_link.STL,,Base^swerve-1,robot,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer1,-0.000131914075338635,-0.0122200983849752,-0.0416849527366612,0,0,0,1.11397042751292,0.000631499796138263,-3.01039870726499E-06,-5.35159180169525E-08,0.000512110896770031,-6.29881109906847E-07,0.000793070567248552,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer1.STL,,steer-1,steer1,Axis_steer1_joint,steer1_joint,continuous,0.207999999999968,-0.208000097092919,0.0875700189392067,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive1,1.91334549279332E-06,7.1029293557956E-13,-0.00311266095149038,0,0,0,0.093012494318941,5.68163374977129E-05,2.29831116198836E-14,-3.67740278694099E-09,5.6630368123332E-05,-8.66600723091956E-14,8.81040187352087E-05,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive1.STL,1,1,1,0.35,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive1.STL,,wheel-1,drive1,Axis_drive1_joint,drive1_joint,continuous,0,0.0159999999998658,-0.0475700189392048,1.5707963267949,0,-3.14159265358979,steer1,0,0,1,4.5,52,,,,,,,,,,
steer2,-0.000131914075338885,-0.0122200983849754,-0.0416849527366612,0,0,0,1.11397042751292,0.000631499796138263,-3.01039870726439E-06,-5.35159180162515E-08,0.000512110896770031,-6.29881109906686E-07,0.000793070567248552,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer2.STL,,steer-2,steer2,Axis_steer2_joint,steer2_joint,continuous,0.207999999999971,0.207999902907081,0.0875700189392056,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive2,-1.91334549173861E-06,-7.1283257074839E-13,-0.00311266095149043,0,0,0,0.0930124943189409,5.68163374977128E-05,2.29831101400819E-14,3.67740278743847E-09,5.66303681233319E-05,8.66600648046698E-14,8.81040187352086E-05,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive2.STL,1,1,1,0.35,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive2.STL,,wheel-2,drive2,Axis_drive2_joint,drive2_joint,continuous,0,0.0159999999998657,-0.0475700189392048,1.5707963267949,0,-3.14159265358979,steer2,0,0,1,4.5,52,,,,,,,,,,
steer3,-0.00013191407533894,-0.0122200983849753,-0.0416849527366612,0,0,0,1.11397042751292,0.000631499796138263,-3.01039870726399E-06,-5.35159180162424E-08,0.000512110896770031,-6.29881109906866E-07,0.000793070567248551,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer3.STL,,steer-3,steer3,Axis_steer3_joint,steer3_joint,continuous,-0.208000000000028,0.207999902907086,0.0875700189392073,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive3,-1.91334549168309E-06,-7.14775461041484E-13,-0.00311266095149038,0,0,0,0.0930124943189411,5.68163374977129E-05,2.29831100443211E-14,3.67740278744101E-09,5.66303681233321E-05,8.66600648809625E-14,8.81040187352087E-05,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive3.STL,1,1,1,0.35,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive3.STL,,wheel-3,drive3,Axis_drive3_joint,drive3_joint,continuous,0,0.0159999999998658,-0.0475700189392048,1.5707963267949,0,-3.14159265358978,steer3,0,0,1,4.5,52,,,,,,,,,,
steer4,-0.000131914075338829,-0.0122200983849753,-0.0416849527366611,0,0,0,1.11397042751293,0.000631499796138263,-3.01039870726301E-06,-5.35159180162301E-08,0.000512110896770031,-6.29881109906814E-07,0.000793070567248552,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harurobo_urdf/meshes/steer4.STL,,steer-4,steer4,Axis_steer4_joint,steer4_joint,continuous,-0.208000000000032,-0.208000097092915,0.0875700189392075,0,0,0,base_link,0,0,1,7,40,0,0,,,,,,,,
drive4,1.91334549271005E-06,7.09418634947667E-13,-0.00311266095149029,0,0,0,0.093012494318941,5.68163374977129E-05,2.29831101520685E-14,-3.67740278666812E-09,5.6630368123332E-05,-8.66600537156269E-14,8.81040187352087E-05,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive4.STL,1,1,1,0.35,0,0,0,0,0,0,package://harurobo_urdf/meshes/drive4.STL,,wheel-4,drive4,Axis_drive4_joint,drive4_joint,continuous,0,0.0159999999998658,-0.0475700189392048,1.5707963267949,0,-3.14159265358978,steer4,0,0,1,4.5,52,,,,,,,,,,
yaw,-1.67087799125077E-05,-0.00617563548948005,0.156967295931179,0,0,0,1.30092636553083,0.00111457812748623,7.43284198526836E-07,-5.74105827120733E-07,0.00176503755890846,-1.26003348184023E-07,0.00122207295014221,0,0,0,0,0,0,package://harurobo_urdf/meshes/yaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://harurobo_urdf/meshes/yaw.STL,,Arm_1_ver2-1,base_yaw,Axis_yaw_joint,yaw_joint,revolute,0,0,0.0895,0,0,-3.1416,base_link,0,0,1,60,20,-3.14,3.14,,,,,,,,
